REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026/05/01 00:05:00,7323.78,57.51,TRADE
NSW1,2026/05/01 00:10:00,7441.25,65.89,TRADE
NSW1,2026/05/01 00:15:00,7417.92,65.22,TRADE
NSW1,2026/05/01 00:20:00,7387.76,57.43,TRADE
NSW1,2026/05/01 00:25:00,7462.48,57.51,TRADE
NSW1,2026/05/01 00:30:00,7339.04,56.06,TRADE
NSW1,2026/05/01 00:35:00,7232.4,56.06,TRADE
NSW1,2026/05/01 00:40:00,7254.02,57.51,TRADE
NSW1,2026/05/01 00:45:00,7201.47,57.51,TRADE
NSW1,2026/05/01 00:50:00,7196.89,56.06,TRADE
NSW1,2026/05/01 00:55:00,7152.68,56.06,TRADE
NSW1,2026/05/01 01:00:00,7114.93,56.06,TRADE
NSW1,2026/05/01 01:05:00,7104.07,56.06,TRADE
NSW1,2026/05/01 01:10:00,7091.39,56.03,TRADE
NSW1,2026/05/01 01:15:00,6993.48,56.06,TRADE
NSW1,2026/05/01 01:20:00,7019.74,56.06,TRADE
NSW1,2026/05/01 01:25:00,6936.24,56.06,TRADE
NSW1,2026/05/01 01:30:00,6928.1,56.06,TRADE
NSW1,2026/05/01 01:35:00,6886.93,56.03,TRADE
NSW1,2026/05/01 01:40:00,6897.77,57.51,TRADE
NSW1,2026/05/01 01:45:00,6882.29,56.06,TRADE
NSW1,2026/05/01 01:50:00,6837.8,56.06,TRADE
NSW1,2026/05/01 01:55:00,6876.45,56.06,TRADE
NSW1,2026/05/01 02:00:00,6785.76,56.06,TRADE
NSW1,2026/05/01 02:05:00,6783.94,56.06,TRADE
NSW1,2026/05/01 02:10:00,6719.59,56.06,TRADE
NSW1,2026/05/01 02:15:00,6663.71,56.06,TRADE
NSW1,2026/05/01 02:20:00,6689.82,56.06,TRADE
NSW1,2026/05/01 02:25:00,6718.94,57.51,TRADE
NSW1,2026/05/01 02:30:00,6681.38,56.06,TRADE
NSW1,2026/05/01 02:35:00,6559.28,56.06,TRADE
NSW1,2026/05/01 02:40:00,6599.15,56.06,TRADE
NSW1,2026/05/01 02:45:00,6588.78,56.06,TRADE
NSW1,2026/05/01 02:50:00,6556.94,56.06,TRADE
NSW1,2026/05/01 02:55:00,6573.64,56.06,TRADE
NSW1,2026/05/01 03:00:00,6517.52,56.06,TRADE
NSW1,2026/05/01 03:05:00,6431.9,56.05,TRADE
NSW1,2026/05/01 03:10:00,6487.27,56.06,TRADE
NSW1,2026/05/01 03:15:00,6516.55,57.51,TRADE
NSW1,2026/05/01 03:20:00,6526.12,56.06,TRADE
NSW1,2026/05/01 03:25:00,6511.78,56.06,TRADE
NSW1,2026/05/01 03:30:00,6540.71,56.06,TRADE
NSW1,2026/05/01 03:35:00,6584.07,57.51,TRADE
NSW1,2026/05/01 03:40:00,6539.17,57.51,TRADE
NSW1,2026/05/01 03:45:00,6464.22,56.06,TRADE
NSW1,2026/05/01 03:50:00,6540.64,57.51,TRADE
NSW1,2026/05/01 03:55:00,6382.58,56.06,TRADE
NSW1,2026/05/01 04:00:00,6426.5,56.06,TRADE
NSW1,2026/05/01 04:05:00,6374.16,56.03,TRADE
NSW1,2026/05/01 04:10:00,6537.97,57.51,TRADE
NSW1,2026/05/01 04:15:00,6593.86,57.51,TRADE
NSW1,2026/05/01 04:20:00,6617.82,56.06,TRADE
NSW1,2026/05/01 04:25:00,6677.46,57.51,TRADE
NSW1,2026/05/01 04:30:00,6562.54,56.06,TRADE
NSW1,2026/05/01 04:35:00,6548.05,56.06,TRADE
NSW1,2026/05/01 04:40:00,6630.33,56.06,TRADE
NSW1,2026/05/01 04:45:00,6730.31,57.51,TRADE
NSW1,2026/05/01 04:50:00,6707.56,56.06,TRADE
NSW1,2026/05/01 04:55:00,6736.82,56.06,TRADE
NSW1,2026/05/01 05:00:00,6763.13,57.29,TRADE
NSW1,2026/05/01 05:05:00,6813.84,56.06,TRADE
NSW1,2026/05/01 05:10:00,6831.47,57.51,TRADE
NSW1,2026/05/01 05:15:00,6917.47,64.89,TRADE
NSW1,2026/05/01 05:20:00,6789.22,57.51,TRADE
NSW1,2026/05/01 05:25:00,6861.8,57.51,TRADE
NSW1,2026/05/01 05:30:00,6940.95,65.05,TRADE
NSW1,2026/05/01 05:35:00,6931.82,64.44,TRADE
NSW1,2026/05/01 05:40:00,6989.08,64.89,TRADE
NSW1,2026/05/01 05:45:00,7024.13,71.40,TRADE
NSW1,2026/05/01 05:50:00,7018.26,64.89,TRADE
NSW1,2026/05/01 05:55:00,7024.35,64.89,TRADE
NSW1,2026/05/01 06:00:00,7133.08,71.40,TRADE
NSW1,2026/05/01 06:05:00,7092.67,64.89,TRADE
NSW1,2026/05/01 06:10:00,7254.08,71.40,TRADE
NSW1,2026/05/01 06:15:00,7423.51,73.14,TRADE
NSW1,2026/05/01 06:20:00,7455.57,86.07,TRADE
NSW1,2026/05/01 06:25:00,7571.56,78.07,TRADE
NSW1,2026/05/01 06:30:00,7601.96,79,TRADE
NSW1,2026/05/01 06:35:00,7695.59,71.40,TRADE
NSW1,2026/05/01 06:40:00,7677.2,84.56,TRADE
NSW1,2026/05/01 06:45:00,7692.45,74.98,TRADE
